TYPE,NAME,LOCATION,CONDITION,DESCRIPTION,TAGS
def,Fire Protection,R13: Heaven,1%,Increases your Fire armor (abs. resistance) by an amount that is based on the maximum shield value of the tower. Bonus is only active when the shield is active.,ARMOR
def,Fire Resistance,R01: Forest,5%,Reduces incoming Fire damage by a percent based amount.,RESISTANCE
def,Fire Shell,R08: Metallic Ruins,1%,Increases resistance against Fire damage everytime the tower takes damage of the specified type. Stacks up to 100 times (multiplicatively) and lasts up to 4 seconds. Taking damage of the same type again refreshes the duration.,RESISTANCE BUFF
def,Forest Gift,Challenge: 1-6,Challenge Completion,"Increases Neutral, Fire, Earth and Nature damage while also increasing the resistance against these elements by the same value.",RESISTANCE
def,Frost Aura,R10: Ocean,0.8%,Slows the movement speed of enemies in a 20M radius around the tower.,AURA SLOW DEBUFF
def,Frost Nova,Experiment: Water,75L (0°C),Releases a wave of frost around the tower. Enemies affected by the cold cannot move for 6 seconds.,ACTIVE INSTANT AREA STUN DEBUFF
def,Granite Foundation,R02: Desert,Wave 10,A stronger foundation that provides more hitpoints than the stone foundation but slows the attackspeed of the tower in turn by 50%.,HEALTH ATTACKSPEED
def,Gravel,Experiment: Earth,"30,000 kg/m³",Provides a chance to produce gravel around the tower when attacking (displayed as a buff). Whenever an enemy attacks it gets stunned by 0.1 seconds for each layer of the buff and the incoming damage gets reduced by 33% per layer (multiplicative). Stacks up to 50 times and disappears when taking damage.,REACTIVE STUN BLOCK
def,Heartstopper Aura,Experiment: Darkness,15 Particles,Decreases the hitpoints of nearby non-Boss units by a percent based amount of damage type Darkness.,AURA DAMAGE ARCHER WIZARD ASSASSIN NORMAL TANK
def,Infinity Reflect,Infinity grid: 23,100 No (1e32),Reflects a part of the incoming damage in form of neutral infinity damage.,REACTIVE DAMAGE
def,Light Armor,R05: Volcano,5%,Reduces incoming Light damage by a fixed amount.,ARMOR
def,Light Barrier,R08: Metallic Ruins,1%,Damages attackers by an amount (based on your max. shield points) of damage type Light as long as your current shield points are greater than 0.,REACTIVE DAMAGE
def,Light Block,R14: Universe,1%,Provides a chance to fully block incoming Light damage.,BLOCK CHANCE
def,Light Exchange,R09: Beach,1%,Divides incoming Light damage by a certain amount while at the same time multiplying incoming Darkness damage.,RESISTANCE
def,Light Protection,R13: Heaven,1%,Increases your Light armor (abs. resistance) by an amount that is based on the maximum shield value of the tower. Bonus is only active when the shield is active.,ARMOR
def,Light Resistance,R02: Desert,5%,Reduces incoming Light damage by a percent based amount.,RESISTANCE
def,Light Shell,R08: Metallic Ruins,1%,Increases resistance against Light damage everytime the tower takes damage of the specified type. Stacks up to 100 times (multiplicatively) and lasts up to 4 seconds. Taking damage of the same type again refreshes the duration.,RESISTANCE BUFF
def,Magical Orbs,Mine: Second Floor,0.5%,Spawns magical orbs that circle around the tower and stun nearby enemies on contact for 3 seconds.,ACTIVE INSTANT STUN DEBUFF
def,Magical Protection,Era Experiment: Light,,Removes a negative buff once in a while.,AURA
def,Magma Foundation,R05: Volcano,Wave 100,"A fiery foundation that provides the tower with some hitpoints and increases fire resistance, but lowers water resistance. In addition outgoing fire damage is multiplied by 40.",HEALTH RESISTANCE
def,Marble Foundation,R11: Neutral,0.5%,Sturdy foundation that protects you from the fundamentals of the universe. Divides incoming neutral and universal damage by 200. (Counts as neutral/universal resistance in the stats menu.),HEALTH RESISTANCE
def,Metal Plating,Artifact: Metal Plating,,A certain amount of electricity damage is prevented and instead dealt to a nearby enemy.,REACTIVE DAMAGE BLOCK
def,Nature Armor,R04: Underground,5%,Reduces incoming Nature damage by a fixed amount.,ARMOR
def,Nature Barrier,R07: Jungle,1%,Damages attackers by an amount (based on your max. shield points) of damage type Nature as long as your current shield points are greater than 0.,REACTIVE DAMAGE
def,Nature Block,R14: Universe,1%,Provides a chance to fully block incoming Nature damage.,BLOCK CHANCE
def,Nature Exchange,R09: Beach,1%,Divides incoming Nature damage by a certain amount while at the same time multiplying incoming Electricity damage.,RESISTANCE
def,Nature Protection,R13: Heaven,1%,Increases your Nature armor (abs. resistance) by an amount that is based on the maximum shield value of the tower. Bonus is only active when the shield is active.,ARMOR
def,Nature Resistance,R01: Forest,5%,Reduces incoming Nature damage by a percent based amount.,RESISTANCE
def,Nature Shell,R07: Jungle,1%,Increases resistance against Nature damage everytime the tower takes damage of the specified type. Stacks up to 100 times (multiplicatively) and lasts up to 4 seconds. Taking damage of the same type again refreshes the duration.,RESISTANCE BUFF
def,Neutral Exchange,R11: Neutral,1%,Divides incoming Neutral damage by a certain amount while at the same time multiplying incoming Universal damage.,RESISTANCE
def,Overcharge,Experiment: Electricity,30A,Provides the tower a chance to receive +25% attackspeed for a certain amount of time whenever it receives damage from an Electricity type enemy.,REACTIVE ATTACKSPEED
def,Phasing,Experiment: Gems,5 Stacks,A slight modification to the towers shield that allows it to completely block every few attacks. Only works as long as the towers shieldpoints are above 0.,REACTIVE BLOCK
def,Power Conversion,Infinity grid: 2,100 No (1e32),Everytime the tower takes damage a part of its energy refills by converting the impact force in to raw power. Only works when shield is active!,REACTIVE ENERGY
def,Quantum Defense,Infinity grid: 22,10 No (1e31),Reduces incoming damage by an exponential factor but requires energy everytime the tower is taking damage.,REACTIVE ENERGY BLOCK
def,Quantum Fading,Infinity grid: 3,10 No (1e31),Completely absorbs incoming damage for a certain duration every 20 seconds by shifting the lower part of the tower in and out of reality.,REACTIVE BLOCK BUFF
def,Refined Armor,Arcade: Lucky Wheel,,Multiplies each armor type of the tower by a constant value.,ARMOR
def,Reflect,Experiment: Neutral,20000,Damages attackers by a part of their own attackdamage.,REACTIVE DAMAGE
def,Sandstorm,Challenge: 2-5,Challenge Completion,"Unleashes a huge sandstorm all over the map which slows enemies by 30% and reduces their general armor and therefore increasing their incoming damage, And affects all enemies on the map.",ACTIVE INSTANT SLOW DEBUFF
def,Shelter,R04: Underground,1%,Provides a chance to fully block incoming damage if the tower hitpoints are below 50%.,REACTIVE BLOCK
def,Shield Amplifier,Era Experiment: Neutral,,Multiplies the maximum shieldpoints of the tower by a constant factor.,SHIELD
def,Shield of Air,Experiment: Air,1.01M Pa,Engulfs the tower with a shield of Air which blocks a random amount of damage on each attack. If no shield is present then this ability will be inactive.,REACTIVE BLOCK
def,Shield of Darkness,Experiment: Darkness,30 Particles,Divides incoming Darkness damage by a specific amount as long as the towers shieldpoints are above 0. If no shield is present then this ability will be inactive.,REACTIVE BLOCK
def,Shield of Fire,Experiment: Fire,"950,000°C",Absorbs incoming Fire damage and releases it in an explosion once every second. Deals the absorbed damage multiplied by a specific factor to all enemies around the tower.,REACTIVE DAMAGE
def,Shield of Frost,Experiment: Water,200L (-10°C),Slows the attackspeed of enemies that attack the tower. Lasts up to 5 seconds but refreshes once the unit attacks again.,REACTIVE SLOW DEBUFF
def,Shield of Nature,Experiment: Nature,9 Plants,Provides a 25% chance that incoming damage permanently increases the towers hp-regeneration.,REACTIVE HEALTH REGENERATION
def,Shield Recharger,R06: High Mountain,0.5%,Starts regenerating your shield by a percentage based amount after not taking any damage for at least 4 seconds.,SHIELD REACTIVE REGENERATION
def,Shock ward,Experiment: Electricity,1000A,Creates a ward at the targeted location which stuns enemies once they enter its area of effect. Lasts up to 30 seconds before disappearing.,ACTIVE GROUND STUN DEBUFF
def,Simple Evasion,Experiment: Neutral,500,Provides the tower a small chance to fully neglect incoming damage.,REACTIVE BLOCK
def,Simple Heal,R02: Desert,Wave 1,Instantly heals the tower by a specific amount of hitpoints.,ACTIVE INSTANT HEALTH
def,Stab Prevention,Challenge: 1-3,Challenge Completion,Provides a chance to block incoming damage from assassins regardless of their elemental type.,REACTIVE BLOCK ASSASSIN
def,Steel Foundation,Experiment: Earth,"6,000 kg/m³","A solid foundation that provides less hitpoints than stone foundation, but adds resistance to Neutral, Fire, Earth and Air damage.",HEALTH RESISTANCE
def,Stone Foundation,Base mod,Unlocked from start,A very basic foundation for the tower which increases its hitpoints.,HEALTH
def,Strike Back,Arcade: Lucky Wheel,,Chance to gain an attackspeed buff when health below 60%.,REACTIVE ATTACKSPEED BUFF
def,Temporal Barrier,Experiment: Universal,<= -1.75,Engulfs the tower with a temporary barrier that limits incoming damage to 3% of its maximum hitpoints per damage instance.,ACTIVE INSTANT REACTIVE BLOCK BUFF
def,Tideshift,Era Experiment: Water,,Sets the whole map under water. Slows the movement- and attackspeed of all enemies by 50%. The buff lasts as long as the total duration of the ocean so affected units remain slowed for a while after it disappears.,ACTIVE INSTANT SLOW DEBUFF
def,Titanium Hull,Experiment: Earth,"125,000 kg/m³",Temporarily increases the towers generic resistance by 99% and its generic armor by a variable amount. Lasts up to 60 seconds.,ACTIVE INSTANT ARMOR RESISTANCE BUFF
def,Transformator,Experiment: Electricity,150A,Provides a 12% chance to restore a part of your shield whenever killing an Electricity type enemy.,SHIELD
def,Unholy Aura,Experiment: Darkness,50 Particles,"Reduces the base resistance of nearby enemies against Darkness, Fire, Earth and Nature damage. Negative base resistance amplifies damage of the according element type.",AURA DEBUFF
def,Universal Exchange,R11: Neutral,1%,Divides incoming Universal damage by a certain amount while at the same time multiplying incoming Neutral damage.,RESISTANCE
def,Water Armor,R05: Volcano,5%,Reduces incoming Water damage by a fixed amount.,ARMOR
def,Water Barrier,R07: Jungle,1%,Damages attackers by an amount (based on your max. shield points) of damage type Water as long as your current shield points are greater than 0.,REACTIVE DAMAGE
def,Water Block,R14: Universe,1%,Provides a chance to fully block incoming Water damage.,BLOCK CHANCE
def,Water Exchange,R09: Beach,1%,Divides incoming Water damage by a certain amount while at the same time multiplying incoming Fire damage.,RESISTANCE
def,Water Protection,R13: Heaven,1%,Increases your Water armor (abs. resistance) by an amount that is based on the maximum shield value of the tower. Bonus is only active when the shield is active.,ARMOR
def,Water Resistance,R03: Winter,5%,Reduces incoming Water damage by a percent based amount.,RESISTANCE
def,Water Shell,R07: Jungle,1%,Increases resistance against Water damage everytime the tower takes damage of the specified type. Stacks up to 100 times (multiplicatively) and lasts up to 4 seconds. Taking damage of the same type again refreshes the duration.,RESISTANCE BUFF
utl,Awareness,Mine: Second Floor,1%,"Temporarily increases the experience points gained from destroyed enemies. (Refers to ingame XP, not town XP.)",ACTIVE INSTANT XP BUFF
utl,Condense,Infinity grid: 16,1 Oc (1e27),Provides a small change to receive an exotic gem from destroying a Boss enemy.,CHANCE EXOTICS BOSS
utl,Defensive Pack,R04: Underground,2%,Provides a chance to upgrade a random defensive module at the beginning of a new wave for free.,WAVE CHANCE MODULE
utl,Energy,R02: Desert,Wave 1,Provides the tower with Energy which can be used to activate active skills.,ENERGY
utl,Energy Flow,Challenge: 2-2,Challenge Completion,Reduces the cooldown of active modules.,REGENERATION
utl,Energy Recycling,Arcade: Lucky Wheel,,Reduces the energy cost of all modules that require energy.,ENERGY COST
utl,Energy Regeneration,R02: Desert,Wave 1,Provides the tower the ability to passively regenerate energy.,ENERGY REGENERATION
utl,Moon Energy,R03: Winter,5%,Increases the energy regeneration of the tower based on how close the current energy is to 0%. Provides no bonus if the current energy is above 50%.,ENERGY REGENERATION
utl,Neutral Response,Arcade: Jumble,,Turns all non-neutral enemies on the map into neutral type enemies.,ACTIVE INSTANT
utl,Offensive Pack,R04: Underground,2%,Provides a chance to upgrade a random offensive module at the beginning of a new wave for free.,WAVE CHANCE MODULE
utl,Pressurize,Era Experiment: Neutral,,Provides a chance to turn destroyed enemies into some gems.,GEMS CHANCE
utl,Recharge,Experiment: Light,6.25M LM,Instantly refills the towers energy to 100%.,ACTIVE INSTANT ENERGY
utl,Refresh,Era Experiment: Light,,Resets the cooldown of all other modules when used.,ACTIVE INSTANT COOLDOWN
utl,Sun Energy,R09: Beach,5%,Increases the energy regeneration of the tower based on how close the current energy is to 100%. Provides no bonus if the current energy is below 50%.,ENERGY REGENERATION
utl,Transmute,R04: Underground,0.5%,Provides a chance to convert dead enemies into additional town resources by using the power of alchemy.,RESOURCES CHANCE
utl,Wave Resources,R01: Forest,Wave 50,Produces a fixed amount of Town Resources at the beginning of a new wave.,RESOURCES WAVE
utl,XP Bonus,Era Experiment: Neutral,,Increases the amount of experience gained for destroying enemies.,XP
ult,Avalanche,Experiment: Earth,2.5M kg/m³,Provides a chance to multiply your outgoing projectile Earth damage by an exponential part of your Earth armor. The current multiplier is x^0.12 where x represents your current Earth armor. The multiplier cannot be lower than 1.,DAMAGE
ult,Bulwark,Era Experiment: Neutral,,Increases the towers damage the closer its hitpoints are to 50%. Passively multiplies the towers maximum hitpoints and all absolute resistances by 1000.,DAMAGE ARMOR
ult,Conductor,Era Experiment: Electricity,,Converts a part of the incoming damage to shield points.,REACTIVE SHIELD
ult,Dice of fate,Artifact: Dice of Fate,,Use the power of this artifact to get random buff every few seconds. Has a chance to apply a negative buff.,BUFF DAMAGE ATTACKSPEED BLOCK RANGE HEALTH SHIELD REGENERATION REACTIVE STUN
ult,Division Shield,Experiment: Exotic,1 Fabric of reality,Divides incoming damage by a fixed amount. Affects all damage types.,REACTIVE BLOCK
ult,Eternal Wall,Infinity grid: 4,1 No (1e30),Tremendously increases the hitpoints of the tower by raising them to a specific power.,HEALTH
ult,Focused Multishot,Era Experiment: Universal,,Provides a chance to attack all units around the primary target.,AREA
ult,Gravitational Impact,Era Experiment: Universal,,Provides a chance to deal a huge amount of damage to all enemies close to the primary target whenever attacking a universal type enemy. Splash damage type is universal.,DAMAGE
ult,Growth,Era Experiment: Nature,,Increases the maximum hitpoints over time.,HEALTH
ult,Hurricane,Era Experiment: Air,,"Increases the attack speed by 40%, all air damage dealt by 5000% and attackrange of the tower by 20%.",ACTIVE INSTANT RANGE DAMAGE ATTACKSPEED BUFF
ult,Immortality Shield,Era Experiment: Light,,Completely nullifies any incoming damage for a certain amount of time.,ACTIVE INSTANT BLOCK BUFF
ult,Infinity Range,Infinity grid: 6,10 Oc (1e28),Permanently increases the towers attack range by a fixed multiplier. Stacks with other range bonuses multiplicatively.,RANGE
ult,Lucky Shot,Experiment: Gems,1 Stack,Provides a small chance to multiply your damage by an amount on an attack.,DAMAGE
ult,Neutral Amplifier,Era Experiment: Neutral,,Multiplies outgoing Neutral damage as well as the damage dealt against Neutral enemies.,
ult,Photosynthesis,Era Experiment: Nature,,"Increases the towers Nature damage for every Light enemy killed (multiplicative with other bonuses, additive to itself). The bonuse damage stays until the end of a round.",
ult,Power of the Cat,Arcade: Jumble,,Provides the tower with up to 9 layers that block incoming lethal attacks. Drains 1 layer per blocked attack. Layers slowly regenerate over time and are displayed in the form of a buff/status effect.,REACTIVE BLOCK
ult,Radar,Mine: Second Floor,0.5%,Doubles the tower's attack range for a certain amount of time.,ACTIVE INSTANT RANGE BUFF
ult,Rejuvenate,Experiment: Nature,16 Plants,Increases the towers hp regeneration for each kill until the end of the current round. Works multiplicatively but additive to itself. Does not affect %-based regeneration.,HEALTH REGENERATION
ult,Serious Missile,Infinity grid: 21,1 No (1e30),An incredibly refined module that provides a small chance to instantly destroy a non-Boss unit.,DAMAGE ARCHER WIZARD ASSASSIN NORMAL TANK
ult,Snap of Destiny,Infinity grid: 24,1 De (1e33),Erases half of all enemies from the map.,ACTIVE INSTANT AREA INFINITY DAMAGE
ult,Stoneskin,Era Experiment: Earth,,Hardens the towers walls and provides a chance to stun attackers for a certain amount of time. Works against ranged attackers as well.,REACTIVE STUN
ult,Stream of Life,Era Experiment: Nature,,Multiplies the damage bonus of Nature damage by x^0.1 where x is the current health regeneration of the tower at the moment of using this module. Disables health regeneration of the tower for the duration of the buff.,ACTIVE INSTANT DAMAGE BUFF
ult,Super Tower,R15: Chaos,Wave 100,"Boosts the tower attack speed by 50%, multiplies the max. health and health regeneration by 3 and decreases incoming damage by 50%.",ACTIVE INSTANT BUFF HEALTH REGENERATION RESISTANCE ATTACKSPEED
ult,Super Tower 2,Era Experiment: Universal,,Massively boosts the tower attack speed (+400%) and multiplies it's energy regeneration by 4.,ACTIVE INSTANT ATTACKSPEED ENERGY REGENERATION BUFF
ult,Super Tower 3,Infinity grid: 1,1 De (1e33),Multiplies the towers outgoing projectile damage by 1000000 and maximum shield by 100.,ACTIVE INSTANT INFINITY DAMAGE SHIELD BUFF
ult,Unfolding,Era Experiment: Universal,,Increases the maximum shieldpoints over time.,SHIELD
ult,Universal Shield,Experiment: Universal,<= -0.5,Blocks the first 2 hits from a single enemy. Afterwards there is a small chance that one more hit will be blocked.,REACTIVE BLOCK
ult,Void,Arcade: Jumble,,Creates a dark void in the targeted area that immediately destroys neutral and universal enemies that enter it.,ACTIVE AREA
spc,Absolute Zero,Experiment: Water,100L (-273°C),Freezes time itself. Equipping your tower with this module slows the passage of time itself by 50%.,TIME
spc,Infinity Foundation,Infinity grid: 13,10 Sp (1e25),"Allows the tower to survive attacks from infinity enemies. In exchange the maximum hitpoints, shield and hitpoint regeneration are reduced to x^0.5.",INFINITY HEALTH
spc,Infinity Shield,Infinity grid: 12,100 Sp (1e26),Partially reverts the shield debuff from infinity foundation. Shield is increased by x^1.5. Only works if infinity foundation is equipped.,INFINITY SHIELD
spc,Rak's Curse,Arcade,Secret,"On activation there is a 0.1% chance to permanently buff the tower's Max Health, Energy Regeneration and Spell Cooldown. 99.8% chance that nothing happens. 0.1% chance to meltdown and destroy the tower. Rak created this curse with the power of lost savegames.Note: The buff lasts until the round ends.",COMMUNITY ACTIVE INSTANT CHANCE BUFF HEALTH REGENERATION
spc,Reboot,Arcade: Jumble,,Sets the current hitpoints of the tower to EXACTLY 1,ACTIVE INSTANT HEALTH
spc,Universal,Challenge: 1-5,Challenge Completion,Changes the base type of the tower from Neutral to Universal and therefore applies all default strengths and weaknesses of Universal to it.,ELEMENT ARMOR
